Name,Location,Ranking,ProgramDetails,TuitionFees
Massachusetts Institute of Technology (MIT),USA,Consistently ranked as one of the top universities globally,"Strong focus on science, engineering, and technology programs","Approx. $53,790 per year"
University of Toronto,Canada,Top 20 globally,Wide range of undergraduate and graduate programs in various disciplines,"Approx. $6,100 - $46,270 per year"
University of Oxford,UK,Consistently ranked as one of the top universities worldwide,Various undergraduate and graduate programs across disciplines,"Approx. £25,740 - £37,230 per year for international students"
Trinity College Dublin,Ireland,Ranked in the top 100 globally,"Offers programs in arts, humanities, science, engineering, and more","Approx. €15,000 - €45,000 per year for non-EU students"
Massachusetts Institute of Technology (MIT),USA,Top 5 globally,"Engineering, Science, Business, etc.","$53,790 per year"
University of Toronto,Canada,Top 20 globally,Various programs across disciplines,"Approx. CAD 6,100 - 49,800 per year"
Trinity College Dublin,Ireland,Top 100 globally,"Various programs in Arts, Humanities, Sciences, etc.",Varies by program and nationality
Technical University of Munich,Germany,Top 50 globally,Offers a wide range of engineering and technology programs,Varies based on program and student status
University of Toronto,Canada,Top 20 globally,Offers a wide range of undergraduate and graduate programs,"Approximately $6,100 - $49,800 per year depending on program and student status"
University of Oxford,UK,Consistently top-ranked globally,Offers various undergraduate and graduate programs across disciplines,"Approximately £9,250 - £37,510 per year depending on program and student status"
Trinity College Dublin,Ireland,Top 100 globally,"Known for programs in arts, humanities, and social sciences","Approximately €6,000 - €60,000 per year depending on program and student status"
Technical University of Munich,Germany,Top 50 worldwide,"Offers various programs in engineering, natural sciences, and business.",Varies based on program and status of the student.
Massachusetts Institute of Technology (MIT),USA,Consistently ranked as one of the top universities globally,"Strong focus on science, engineering, and technology programs.","Approximately $53,790 per year for undergraduate students."
University of Toronto,Canada,Top 20 worldwide,"Offers a wide range of programs including business, engineering, and health sciences.","Approximately $6,100 - $49,800 per year depending on program and level of study."
University of Oxford,UK,Consistently ranked as one of the top universities in the world,"Offers various undergraduate and postgraduate programs in arts, sciences, and social sciences.","Approximately £9,000 - £36,065 per year for UK/EU students, higher for international students."
Trinity College Dublin,Ireland,Top 100 worldwide,"Offers programs in arts, humanities, science, and engineering.","Approximately €6,000 - €45,000 per year depending on the program and level of study."
Technical University of Munich,Germany,Top 50 globally,"Offers various programs in engineering, natural sciences, and management.",Approx. €129.40 per semester for international students
Harvard University,USA,Top 5 globally,One of the leading universities in the world offering a wide range of programs across various fields.,"Approx. $51,925 per year for undergraduate students"
University of Toronto,Canada,Top 25 globally,Known for its research-intensive programs in various disciplines.,"Approx. CAD $46,270 per year for international undergraduate students"
University of Oxford,UK,Top 10 globally,Offers a wide range of undergraduate and postgraduate programs across different fields.,"Approx. £25,740 per year for international undergraduate students"
Trinity College Dublin,Ireland,Top 200 globally,"Known for its programs in arts, humanities, and social sciences.","Approx. €18,000 - €45,000 per year depending on the program and nationality"
Harvard University,USA,Top 5 worldwide,Various undergraduate and graduate programs across disciplines,"Approx. $51,925 per year"
University of Toronto,Canada,Top 30 worldwide,Wide range of undergraduate and graduate programs,"Approx. CAD $6,100 - $49,800 per year (depending on program and residency)"
University of Oxford,UK,Top 10 worldwide,"Various undergraduate and graduate programs in arts, science, and humanities","Approx. £9,250 - £37,510 per year (depending on residency)"
Trinity College Dublin,Ireland,Top 200 worldwide,"Various undergraduate and graduate programs in arts, humanities, science, and social sciences","Approx. €6,165 - €55,140 per year (depending on program and residency)"
Technical University of Munich,Germany,Top 50 worldwide,Offers various engineering and technology programs,Approx. €129.40 per semester for international students
Harvard University,USA,Top 5 worldwide,Offers a wide range of undergraduate and graduate programs,"Approx. $51,904 per year for tuition"
University of Toronto,Canada,Top 25 worldwide,"Strong programs in business, engineering, and sciences","Approx. CAD $44,020 per year for international students"
University of Oxford,UK,Top 10 worldwide,One of the oldest and prestigious universities with various programs,"Approx. £26,770 per year for international students"
University College Dublin,Ireland,Top 200 worldwide,Offers a wide range of undergraduate and postgraduate programs,"Approx. €14,000 - €20,000 per year for international students"
Technical University of Munich,Germany,Top 50 in the world,"Offers a wide range of programs in engineering, natural sciences, and technology.",Varies based on the program and student nationality
Massachusetts Institute of Technology (MIT),USA,Consistently ranked as one of the top universities globally,"Known for its strong programs in engineering, science, and technology.","Approximately $53,790 per year for undergraduate students"
University of Toronto,Canada,Top 25 in the world,Offers a diverse range of programs in various fields of study.,Varies based on the program and student status
University of Oxford,UK,One of the oldest and most prestigious universities globally,Offers a wide array of undergraduate and postgraduate programs.,"Approximately £9,250 per year for UK/EU undergraduate students"
Trinity College Dublin,Ireland,Top 200 in the world,"Known for programs in arts, humanities, and social sciences.",Varies based on the program and student nationality
Technical University of Munich,Germany,Top 50 worldwide,"Various engineering programs, computer science, management",Varies based on program and nationality
Massachusetts Institute of Technology (MIT),USA,Top 5 worldwide,"Engineering, computer science, business, humanities","Approx. $53,790 per year"
University of Toronto,Canada,Top 20 worldwide,"Various programs in sciences, engineering, business, arts","Approx. $6,100 - $49,800 per year depending on program and level"
University of Oxford,UK,Top 10 worldwide,"Wide range of programs in humanities, sciences, social sciences","Approx. £9,250 - £24,750 per year for UK/EU students; higher for international students"
Trinity College Dublin,Ireland,Top 200 worldwide,"Various programs in arts, humanities, sciences, business","Approx. €6,000 - €45,000 per year depending on program and level"
Massachusetts Institute of Technology (MIT),USA,"Overall: 1, World: 1","Programs in engineering, science, architecture, management, humanities, and social sciences","$53,790 per year for undergraduate students"
University of Toronto,Canada,"Overall: 18, World: 25",Wide range of undergraduate and graduate programs in various fields,"Approximately $39,210 per year for international undergraduate students"
University of Oxford,UK,"Overall: 4, World: 5",Various undergraduate and graduate programs across different disciplines,"£25,740 per year for international students in most programs"
Trinity College Dublin,Ireland,"Overall: 101-150, World: 101-150","Programs in arts, humanities, social sciences, engineering, science, and health sciences","€16,290-€54,260 per year depending on the program and level of study"
University of Oxford,UK,Top 10 in the world,"Renowned for humanities, social sciences, and natural sciences programs","Approx. £9,250 - £38,000 per year for undergraduate programs (UK/EU)"
Stanford University,USA,Top 5 globally,"Computer Science, Business, Engineering, etc.","Approx. $50,000 per year"
University of Toronto,Canada,Top 20 globally,"Various programs in Arts, Sciences, Engineering, etc.","Approx. $30,000 per year for international students"
University of Oxford,UK,Top 10 globally,"Various programs in Humanities, Sciences, Social Sciences, etc.","Approx. £25,000 per year for international students"
Trinity College Dublin,Ireland,Top 200 globally,"Various programs in Arts, Sciences, Business, etc.","Approx. €20,000 per year for non-EU students"
Technical University of Munich,Germany,Top 50 globally,Offers various engineering programs,Free for international students
Massachusetts Institute of Technology (MIT),USA,Consistently ranked in top 5 globally,Strong emphasis on science and technology programs,"$53,790 per year for undergraduate"
University of Toronto,Canada,Top 30 globally,Wide range of programs across disciplines,"CAD 6,100 - 53,000 per year depending on program and residency"
University of Oxford,UK,Consistently ranked in top 10 globally,Offers diverse undergraduate and graduate programs,"£9,000 - £37,510 per year depending on program and residency"
Trinity College Dublin,Ireland,Top 100 globally,"Focus on arts, humanities, and social sciences programs","€6,000 - €34,000 per year depending on program and residency"
Technical University of Munich,Germany,Top 50 globally,"Various programs in engineering, computer science, and natural sciences.",Approx. €129 per semester for international students
University of Toronto,Canada,Top 20 globally,Wide range of undergraduate and graduate programs in various fields.,"Approx. $45,690 per year for international undergraduate students"
University of Oxford,UK,Top 10 globally,Offers diverse undergraduate and graduate programs across various disciplines.,"Approx. £25,740 per year for international undergraduate students"
Trinity College Dublin,Ireland,Top 100 globally,"Strong programs in arts, humanities, and sciences.","Approx. €16,290 per year for undergraduate EU students"
Technical University of Munich,Germany,Top 50 in the world,"Various programs in engineering, sciences, and business",Approx. €129.40 per semester for non-EU students
Massachusetts Institute of Technology (MIT),USA,Consistently Top 5 in the world,"Offers programs in engineering, sciences, and business","Approx. $53,790 per year for undergraduate tuition"
University of Toronto,Canada,Top 20 in the world,Various undergraduate and graduate programs in diverse fields,"Approx. CAD $6,100 to $46,270 per year depending on program and residence status"
University of Oxford,UK,Consistently Top 10 in the world,Offers a wide range of undergraduate and graduate programs,"Approx. £25,740 per year for international undergraduate students"
Trinity College Dublin,Ireland,Top 100 in the world,"Various undergraduate and postgraduate programs in arts, humanities, sciences, and more","Approx. €16,290 to €55,140 per year depending on program and level of study"
Massachusetts Institute of Technology (MIT),USA,Top 3 worldwide,"Strong focus on science, engineering, and technology","Approx. $53,790 per year"
University of Toronto,Canada,Top 25 worldwide,Wide range of programs across various disciplines,"Approx. $6,100 - $49,800 per year"
Trinity College Dublin,Ireland,Top 200 worldwide,"Strong programs in arts, humanities, and social sciences","Approx. €15,000 - €45,000 per year for non-EU students"
Technical University of Munich,Germany,Top 50 globally,"Various engineering, science, and technology programs",Varies based on program and student status
Massachusetts Institute of Technology (MIT),USA,Consistently ranked as one of the top universities worldwide,"Wide range of programs in engineering, science, and business","Approximately $50,000 per year"
University of Toronto,Canada,Top 25 globally,Various programs across multiple disciplines,"Approximately $6,000 to $50,000 per year depending on program and student status"
University of Oxford,UK,Consistently ranked as one of the top universities in the world,Wide range of undergraduate and graduate programs,Varies based on program and student status
Massachusetts Institute of Technology (MIT),USA,1st in the QS World University Rankings 2022,"Renowned for its programs in engineering, computer science, and business.","Approximately $53,790 per year for tuition and fees"
University of Toronto,Canada,25th in the QS World University Rankings 2022,Offers a wide range of undergraduate and graduate programs in various fields.,"Approximately CAD 55,070 per year for international students"
University of Oxford,UK,2nd in the QS World University Rankings 2022,"Known for its programs in humanities, social sciences, and natural sciences.","Approximately £25,740 per year for international students"
Trinity College Dublin,Ireland,101-150 in the QS World University Rankings 2022,"Offers programs in arts, humanities, sciences, and social sciences.","Approximately €16,290-€55,140 per year depending on the program"
Massachusetts Institute of Technology (MIT),USA,Consistently top-ranked globally,"Wide range of programs in engineering, sciences, and business","Approx. $53,790 per year for undergraduate students"
University of Toronto,Canada,Top 20 globally,"Offers programs in various disciplines including engineering, sciences, and humanities","Approx. CAD $45,690 per year for international students"
University of Oxford,UK,Top 10 globally,Wide range of programs across different fields of study,"Approx. £25,740 per year for international students"
Trinity College Dublin,Ireland,Top 100 globally,"Offers programs in arts, humanities, sciences, and business","Approx. €16,000 - €55,000 per year depending on the program"
University of Oxford,UK,Top 10 worldwide,"Renowned for humanities, social sciences, and natural sciences","£9,250 - £37,510 per year (undergraduate)"
Massachusetts Institute of Technology (MIT),USA,Top 5 globally,"Various science, engineering, and business programs","Approx. $53,790 per year for undergraduates"
University of Oxford,UK,Top 10 globally,"Various programs in arts, humanities, and sciences","Approx. £25,740 per year for international undergraduates"
Trinity College Dublin,Ireland,Top 100 globally,"Various programs in arts, sciences, and business","Approx. €16,290- €55,140 per year for international undergraduates"
Massachusetts Institute of Technology (MIT),USA,Top 5 worldwide,"Various programs in science, engineering, and technology",Expensive for international students
University of Toronto,Canada,Top 20 worldwide,Wide range of programs in various fields,Varies for domestic and international students
University of Oxford,UK,Top 10 worldwide,"Various programs in humanities, sciences, and social sciences",Higher for international students
Stanford University,USA,Top 5 worldwide,"Engineering, computer science, business, humanities","Approx. $53,529 per year for undergraduate students"
University of Toronto,Canada,Top 30 worldwide,"Various programs including engineering, business, arts, sciences","Approx. CA$6,100 - CA$49,800 per year depending on the program"
Trinity College Dublin,Ireland,Top 200 worldwide,"Arts, humanities, sciences, engineering","Approx. €15,000 - €55,000 per year depending on the program"
Stanford University,USA,Top 5 globally,Renowned for computer science and engineering programs,"$50,000+ per year"
University of Toronto,Canada,Top 20 globally,"Strong programs in business, engineering, and healthcare","Approx. $30,000 - $50,000 per year"
University of Oxford,UK,Top 10 globally,Offers a variety of programs across disciplines,Varies based on program and student status
Trinity College Dublin,Ireland,Top 200 globally,"Arts, Health Sciences, Engineering",Varies by program and nationality
Technical University of Munich,Germany,Top 50 worldwide,Offer various engineering programs,Approx. 500 EUR per semester for international students
University of Toronto,Canada,Top 20 worldwide,Offer a wide range of programs in various disciplines,"Approx. CAD 55,000 per year for international undergraduate students"
University of Oxford,UK,One of the oldest and most prestigious universities,"Offer programs in humanities, sciences, and social sciences","Approx. £25,740 per year for international undergraduate students"
Harvard University,USA,Consistently ranked among the top universities globally,Offers a variety of undergraduate and graduate programs across various disciplines.,"Approximately $51,904 per year for tuition"
University of Toronto,Canada,Top 20 globally,"Offers diverse programs in fields like business, engineering, and humanities.","Approximately CAD 44,290 per year for international undergraduate students"
University of Oxford,UK,Consistently ranked among the top universities globally,Offers a wide range of undergraduate and postgraduate programs in various disciplines.,"Approximately £25,740 per year for international undergraduate students"
Trinity College Dublin,Ireland,Top 200 globally,"Offers programs in arts, humanities, science, and social sciences.","Approximately €17,000 per year for non-EU undergraduate students"
Technical University of Munich,Germany,Top 50 globally,"Various engineering programs, business, and technology courses",Varies based on program
Stanford University,USA,Top 5 globally,"Strong programs in computer science, engineering, and business","Approx. $53,529 per year"
University of Toronto,Canada,Top 20 globally,"Wide range of programs including humanities, sciences, and engineering","Approx. CAD 6,100 - 47,000 per year"
University of Oxford,UK,Top 10 globally,"Strong programs in humanities, social sciences, and natural sciences","Approx. £9,250 - £38,000 per year"
Trinity College Dublin,Ireland,Top 100 globally,"Programs in arts, humanities, sciences, and business","Approx. €6,000 - €55,000 per year"
University of Toronto,Canada,Top 20 globally,Wide range of programs in various disciplines,"Approx. CAD $47,000 per year for international undergraduate students"
Trinity College Dublin,Ireland,Top 200 globally,Wide range of undergraduate and postgraduate programs,"Approx. €16,000-€55,000 per year depending on program"
University of Oxford,UK,Top 10 globally,Renowned for its humanities and social sciences programs,"Approx. £9,250 per year for UK/EU students, higher for international students"
Technical University of Munich,Germany,Top 50 worldwide,"Offers programs in engineering, natural sciences, and technology",Approx. €129.40 per semester for international students
Harvard University,USA,Top 5 worldwide,Various programs across multiple disciplines,"Approx. $51,904 for tuition and fees"
Trinity College Dublin,Ireland,Top 200 worldwide,"Offers programs in arts, humanities, and sciences","Approx. €16,500 - €55,000 per year for undergraduate programs"
University of Toronto,Canada,25th (QS World University Rankings 2022),Offers a wide range of undergraduate and graduate programs.,Varies by program and residency status
University of Oxford,UK,2nd (QS World University Rankings 2022),One of the oldest and most prestigious universities offering a variety of programs.,"£9,250-£47,540 per year for UK/EU students, higher for international students"
Stanford University,USA,Top 5 worldwide,"Wide range of programs in technology, business, and more","Approx. $55,000 per year for undergraduate programs"
University of Toronto,Canada,Top 30 worldwide,"Strong programs in various fields including business, engineering, and health sciences","Approx. $6,100 - $14,180 per year for undergraduate programs"
University of Oxford,UK,Top 10 worldwide,One of the oldest and prestigious universities offering a wide range of programs,"Approx. £9,250 - £37,045 per year for undergraduate programs"
Trinity College Dublin,Ireland,Top 100 worldwide,"Offers programs in arts, humanities, sciences, and more","Approx. €6,000 - €25,000 per year for undergraduate programs"
Massachusetts Institute of Technology (MIT),USA,Top 5 worldwide,"Various programs in engineering, science, and technology","Approx. $53,790 per year for undergraduates"
Stanford University,USA,Top 5 in the world,"Various programs in engineering, business, and sciences","Approx. $56,169 per year for undergraduate international students"
Stanford University,USA,Top 5 globally,Renowned for technology and entrepreneurship programs,"Approx. $50,000 per year"
University of Toronto,Canada,Top 20 globally,"Strong programs in business, engineering, and health sciences","Approx. $6,000 - $50,000 per year"
University of Oxford,UK,Top 10 globally,"Offers a wide range of programs in humanities, sciences, and social sciences","Approx. £9,000 - £35,000 per year"
Technical University of Munich,Germany,Top 50 worldwide,"Engineering, Technology, Sciences",Varies
University of Toronto,Canada,Top 30 worldwide,"Business, Engineering, Health Sciences","Approx. $6,100 - $49,800 per year (depending on program)"
University of Oxford,UK,Top 10 worldwide,Well-known for its humanities and social sciences programs,"Approx. £25,740 per year for international students"
Stanford University,USA,Top 3 globally,"Known for its strong programs in computer science, engineering, and business","Approximately $53,529 per year"
University of Toronto,Canada,Top 20 globally,Offers a wide range of programs across various disciplines,"Approximately $6,100 - $46,270 per year"
University of Oxford,UK,Top 5 globally,"Renowned for its humanities, social sciences, and natural sciences programs","Approximately £25,740 per year for UK/EU students, higher for international students"
University of Toronto,Canada,Top 20 in the world,Offers a diverse range of programs in various disciplines,Varies for domestic and international students
University of Oxford,UK,One of the oldest and most prestigious universities,"Strong programs in humanities, sciences, and social sciences","Approx. £9,250 per year for UK/EU undergraduates"
Trinity College Dublin,Ireland,Top university in Ireland,"Offers programs in arts, humanities, sciences, and engineering",Varies based on program and student nationality
Stanford University,USA,Top 5 globally,"Wide range of programs including Computer Science, Business, Engineering","$50,000+ per year"
University of Toronto,Canada,Top 20 globally,"Strong programs in Business, Engineering, and Social Sciences","$30,000+ per year"
University of Oxford,UK,Top 10 globally,"Various programs in Humanities, Sciences, and Social Sciences",Varies by program and nationality
Trinity College Dublin,Ireland,Top 200 globally,"Strong programs in Arts, Humanities, and Sciences",Varies by program and nationality
Trinity College Dublin,Ireland,Top 200 globally,"Arts, Sciences, Business, Engineering",Varies based on program and status
Technical University of Munich,Germany,Top 50 worldwide,"Offers a wide range of programs in engineering, natural sciences, and management.",Approximately €129.40 per semester for international students
Stanford University,USA,Top 5 worldwide,"Renowned for programs in computer science, engineering, business, and more.","Approximately $56,169 per year for undergraduates"
University of Toronto,Canada,Top 20 worldwide,"Offers diverse programs in arts, sciences, engineering, and more.","Approximately CAD $55,690 per year for international students"
University of Oxford,UK,Top 10 worldwide,"Known for excellence in humanities, social sciences, and natural sciences.","Approximately £25,740 per year for international students"
Trinity College Dublin,Ireland,Top 200 worldwide,"Offers programs in arts, humanities, sciences, and more.","Approximately €16,290 per year for undergraduate EU students"
University of Toronto,Canada,Top 25 worldwide,Wide range of programs across different fields,"Approx. CAD $46,270 per year for international undergraduate students"
University of Oxford,UK,Consistently ranked in the top 5 worldwide,Various programs across disciplines,"Approx. £25,740 per year for international undergraduate students"
University of Toronto,Canada,One of the top universities in Canada and globally,Offers a wide variety of undergraduate and graduate programs,Varies based on program and student status
University of Oxford,UK,One of the oldest and most prestigious universities in the world,Offers a wide range of programs across various disciplines,Higher for international students compared to domestic students
Trinity College Dublin,Ireland,Highly regarded university in Ireland and globally,"Strong programs in areas like humanities, social sciences, and health sciences",Varies based on program and student status
Trinity College Dublin,Ireland,Top 200 globally,"Programs in arts, humanities, sciences, and social sciences","Approx. €6,000 - €45,000 per year depending on program and residency status"
University of Oxford,UK,Consistently ranked as one of the top universities globally,Offers a wide range of programs across different fields,"Approximately £25,740 per year for undergraduate programs"
Massachusetts Institute of Technology (MIT),USA,Top 5 worldwide,"Engineering, computer science, business","Approx. $53,790 per year for undergraduates"
University of Oxford,UK,Top 10 worldwide,"Various disciplines including humanities, sciences, social sciences","Approx. £25,740 - £36,065 per year for international students"
Trinity College Dublin,Ireland,Top 200 worldwide,"Arts, humanities, sciences, business","Approx. €15,000 - €45,000 per year for non-EU students"
Technical University of Munich,Germany,Top 50 globally,"Various programs in engineering, technology, and sciences",Approx. €129.40 per semester for international students
Stanford University,USA,Top 5 globally,Various undergraduate and graduate programs across disciplines,"Approx. $53,529 per year for undergraduate students"
University of Oxford,UK,Top 10 globally,"Various undergraduate and graduate programs in arts, humanities, and sciences","Approx. £25,000-£37,000 per year for international undergraduate students"
Trinity College Dublin,Ireland,Top 100 globally,"Various undergraduate and graduate programs in arts, humanities, and sciences","Approx. €18,000-€52,000 per year depending on the program for international students"
Harvard University,USA,Top 5 worldwide,Wide range of undergraduate and graduate programs,"Approx. $51,000 per year for tuition"
University of Toronto,Canada,Top 20 worldwide,Numerous undergraduate and graduate programs across various disciplines,"Approx. CAD 55,000 per year for international students"
University of Oxford,UK,Top 10 worldwide,"Various undergraduate and graduate programs in arts, sciences, social sciences","Approx. £25,000 per year for international students"
Trinity College Dublin,Ireland,Top 200 worldwide,"Programs in arts, humanities, social sciences, engineering, health sciences","Approx. €16,000-€55,000 per year depending on the program"
Technical University of Munich,Germany,Top 50 worldwide,Offers a variety of engineering programs,Varies based on program and status
University of Toronto,Canada,Top 30 worldwide,Offers a wide range of programs in various disciplines,"Approx. $6,100 - $14,180 per year (undergraduate)"
University of Oxford,UK,Top 10 worldwide,One of the oldest and most prestigious universities offering various programs,"Approx. £9,250 - £24,750 per year (undergraduate)"
University of Oxford,UK,Top 10 in the world,Renowned for humanities and social sciences programs,"Approx. £26,770 per year for international undergraduate students"
University of Toronto,Canada,Top 20 worldwide,"Diverse programs in arts, sciences, engineering, business, etc.","Approx. CAD 30,000 - 60,000 per year"
University of Oxford,UK,Top 10 worldwide,"Renowned for humanities, social sciences, and science programs",Varies based on program and nationality
Technical University of Munich,Germany,Top 50 worldwide,"Various programs in engineering, natural sciences, and business",Approx. €129.40 per semester for international students
Stanford University,USA,Top 5 worldwide,Offers a wide range of undergraduate and graduate programs across disciplines,"Approx. $56,000 per year for undergraduate students"
University of Toronto,Canada,Top 20 worldwide,"Diverse programs in various fields including arts, humanities, sciences, and engineering","Approx. CAD $50,000 per year for international undergraduate students"
University of Oxford,UK,Top 10 worldwide,"Renowned for programs in humanities, social sciences, and sciences","Approx. £25,000 per year for international undergraduate students"
Trinity College Dublin,Ireland,Top 100 worldwide,"Offers programs in arts, humanities, social sciences, and natural sciences","Approx. €15,000 - €45,000 per year depending on the program for international students"
Harvard University,USA,Top 5 worldwide,Various undergraduate and graduate programs across multiple disciplines,"Approx. $49,653 per year for undergraduate students"
Trinity College Dublin,Ireland,Top 200 worldwide,"Programs in arts, humanities, social sciences, engineering, and more","Approx. €15,000 - €55,000 per year depending on the program"
Harvard University,USA,Top 5 in the world,Various undergraduate and graduate programs,"Approx. $51,925 per year for undergraduate students"
University of Toronto,Canada,Top 20 in the world,"Arts and Humanities, Sciences, Engineering","Approx. CAD $45,690 per year for international students"
